time,open,high,low,close,volume
2026-05-16T10:45:00Z,2418.40,2420.10,2416.80,2419.60,1180
2026-05-16T11:00:00Z,2419.60,2422.30,2418.70,2421.90,1224
2026-05-16T11:15:00Z,2421.90,2426.80,2421.20,2425.70,1340
2026-05-16T11:30:00Z,2425.70,2431.40,2424.90,2429.80,1515
2026-05-16T11:45:00Z,2429.80,2432.10,2426.30,2427.40,1632
2026-05-16T12:00:00Z,2427.40,2429.10,2421.80,2423.20,1588
2026-05-16T12:15:00Z,2423.20,2425.00,2416.70,2417.60,1711
2026-05-16T12:30:00Z,2417.60,2418.50,2408.20,2410.40,1825
2026-05-16T12:45:00Z,2410.40,2412.20,2404.10,2406.70,1760
2026-05-16T13:00:00Z,2406.70,2409.00,2400.40,2402.30,1844
2026-05-16T13:15:00Z,2402.30,2405.40,2397.80,2401.10,1906
2026-05-16T13:30:00Z,2401.10,2404.20,2398.90,2400.80,1668
